timestamp,event_name,source_row
2026-06-14T10:02:00+00:00,CycleStart,1
2026-06-14T10:02:01.100000+00:00,ProductDetected,2
2026-06-14T10:02:02.200000+00:00,PrintComplete,3
2026-06-14T10:02:03+00:00,TampExtendCommand,4
2026-06-14T10:02:04.100000+00:00,TampExtendedSensor,5
2026-06-14T10:02:04.800000+00:00,TampHomeSensor,6
2026-06-14T10:02:05.300000+00:00,CycleComplete,7
2026-06-14T10:02:05.301000+00:00,CycleStart,8
2026-06-14T10:02:06.401000+00:00,ProductDetected,9
2026-06-14T10:02:07.501000+00:00,PrintComplete,10
2026-06-14T10:02:08.301000+00:00,TampExtendCommand,11
2026-06-14T10:02:09.401000+00:00,TampExtendedSensor,12
2026-06-14T10:02:10.101000+00:00,TampHomeSensor,13
2026-06-14T10:02:10.601000+00:00,CycleComplete,14
2026-06-14T10:02:10.602000+00:00,CycleStart,15
2026-06-14T10:02:11.702000+00:00,ProductDetected,16
2026-06-14T10:02:12.802000+00:00,PrintComplete,17
2026-06-14T10:02:13.602000+00:00,TampExtendCommand,18
2026-06-14T10:02:14.702000+00:00,TampExtendedSensor,19
2026-06-14T10:02:15.402000+00:00,TampHomeSensor,20
2026-06-14T10:02:15.902000+00:00,CycleComplete,21
2026-06-14T10:02:15.903000+00:00,CycleStart,22
2026-06-14T10:02:17.003000+00:00,ProductDetected,23
2026-06-14T10:02:18.103000+00:00,PrintComplete,24
2026-06-14T10:02:18.903000+00:00,TampExtendCommand,25
2026-06-14T10:02:20.003000+00:00,TampExtendedSensor,26
2026-06-14T10:02:20.703000+00:00,TampHomeSensor,27
2026-06-14T10:02:21.203000+00:00,CycleComplete,28
2026-06-14T10:02:21.204000+00:00,CycleStart,29
2026-06-14T10:02:22.304000+00:00,ProductDetected,30
2026-06-14T10:02:23.404000+00:00,PrintComplete,31
2026-06-14T10:02:24.204000+00:00,TampExtendCommand,32
2026-06-14T10:02:25.304000+00:00,TampExtendedSensor,33
2026-06-14T10:02:26.004000+00:00,TampHomeSensor,34
2026-06-14T10:02:26.504000+00:00,CycleComplete,35
2026-06-14T10:02:26.505000+00:00,CycleStart,36
2026-06-14T10:02:27.605000+00:00,ProductDetected,37
2026-06-14T10:02:28.705000+00:00,PrintComplete,38
2026-06-14T10:02:29.505000+00:00,TampExtendCommand,39
2026-06-14T10:02:30.605000+00:00,TampExtendedSensor,40
2026-06-14T10:02:31.305000+00:00,TampHomeSensor,41
2026-06-14T10:02:31.805000+00:00,CycleComplete,42
2026-06-14T10:02:31.806000+00:00,CycleStart,43
2026-06-14T10:02:32.906000+00:00,ProductDetected,44
2026-06-14T10:02:34.006000+00:00,PrintComplete,45
2026-06-14T10:02:34.806000+00:00,TampExtendCommand,46
2026-06-14T10:02:35.906000+00:00,TampExtendedSensor,47
2026-06-14T10:02:36.606000+00:00,TampHomeSensor,48
2026-06-14T10:02:37.106000+00:00,CycleComplete,49
2026-06-14T10:02:37.107000+00:00,CycleStart,50
2026-06-14T10:02:38.207000+00:00,ProductDetected,51
2026-06-14T10:02:39.307000+00:00,PrintComplete,52
2026-06-14T10:02:40.107000+00:00,TampExtendCommand,53
2026-06-14T10:02:41.207000+00:00,TampExtendedSensor,54
2026-06-14T10:02:41.907000+00:00,TampHomeSensor,55
2026-06-14T10:02:42.407000+00:00,CycleComplete,56
2026-06-14T10:02:42.408000+00:00,CycleStart,57
2026-06-14T10:02:43.508000+00:00,ProductDetected,58
2026-06-14T10:02:44.608000+00:00,PrintComplete,59
2026-06-14T10:02:45.408000+00:00,TampExtendCommand,60
2026-06-14T10:02:46.508000+00:00,TampExtendedSensor,61
2026-06-14T10:02:47.208000+00:00,TampHomeSensor,62
2026-06-14T10:02:47.708000+00:00,CycleComplete,63
2026-06-14T10:02:47.709000+00:00,CycleStart,64
2026-06-14T10:02:48.809000+00:00,ProductDetected,65
2026-06-14T10:02:49.909000+00:00,PrintComplete,66
2026-06-14T10:02:50.709000+00:00,TampExtendCommand,67
2026-06-14T10:02:51.809000+00:00,TampExtendedSensor,68
2026-06-14T10:02:52.509000+00:00,TampHomeSensor,69
2026-06-14T10:02:53.009000+00:00,CycleComplete,70
2026-06-14T10:02:53.010000+00:00,CycleStart,71
2026-06-14T10:02:54.110000+00:00,ProductDetected,72
2026-06-14T10:02:55.210000+00:00,PrintComplete,73
2026-06-14T10:02:56.010000+00:00,TampExtendCommand,74
2026-06-14T10:02:57.110000+00:00,TampExtendedSensor,75
2026-06-14T10:02:57.810000+00:00,TampHomeSensor,76
2026-06-14T10:02:58.310000+00:00,CycleComplete,77
2026-06-14T10:02:58.311000+00:00,CycleStart,78
2026-06-14T10:02:59.411000+00:00,ProductDetected,79
2026-06-14T10:03:00.511000+00:00,PrintComplete,80
2026-06-14T10:03:01.311000+00:00,TampExtendCommand,81
2026-06-14T10:03:02.411000+00:00,TampExtendedSensor,82
2026-06-14T10:03:03.111000+00:00,TampHomeSensor,83
2026-06-14T10:03:03.611000+00:00,CycleComplete,84
